Knoten 1,Knoten 2,relation,year
EvBu,5GJ,Teilnahme,2019
EvBu,B1,Teilnahme,2017
EvBu,BIP,Teilnahme,2018
EvBu,BISA,Teilnahme,2021
EvBu,BOK,Teilnahme,2022
EvBu,BTB,Teilnahme,2018
EvBu,BuBa,Teilnahme,2021
EvBu,C,Teilnahme,2022
EvBu,DC,Teilnahme,2019
EvBu,DGPBa,Teilnahme,2022
EvBu,DS,Teilnahme,2019
EvBu,DST,Teilnahme,2020
EvBu,DSWNWP,Teilnahme,2019
EvBu,DUC,Teilnahme,2019
EvBu,DUC,Teilnahme,2021
EvBu,FB,Teilnahme,2018
EvBu,GDH,Teilnahme,2020
EvBu,GDP,Teilnahme,2018
EvBu,GN,Teilnahme,2018
EvBu,HOS,Teilnahme,2020
EvBu,KT,Teilnahme,2020
EvBu,LD,Teilnahme,2019
EvBu,LD,Teilnahme,2020
EvBu,LGN,Teilnahme,2020
EvBu,LS,Teilnahme,2022
EvBu,MBDA,Teilnahme,2019
EvBu,MM,Teilnahme,2022
EvBu,NW,Teilnahme,2019
EvBu,PBB,Teilnahme,2017
EvBu,PGE,Teilnahme,2020
EvBu,PPD,Teilnahme,2019
EvBu,PSQ,Teilnahme,2019
EvBu,RTLS,Teilnahme,2021
EvBu,SDS1,Teilnahme,2021
EvBu,SIDM,Teilnahme,2023
EvBu,STV,Teilnahme,2019
EvBu,STV,Teilnahme,2020
EvBu,taff,Teilnahme,2017
EvBu,TFG,Teilnahme,2020
EvBu,TFG,Teilnahme,2021
EvBu,TSB,Teilnahme,2022
EvBu,TW,Teilnahme,2021
EvBu,VSS,Teilnahme,2020
EvBu,WWM,Teilnahme,2021
EvBu,ZUDS,Teilnahme,2020